[run number],initial-people,average-coupling-tendency,average-commitment,average-condom-use,average-test-frequency,[step],count turtles,count turtles with [not infected?],count turtles with [known?],count turtles with [infected?] - count turtles with [known?]
23,500,5,0,2,0,538,500,0,500,0
12,500,5,0,1,0,542,500,0,500,0
122,500,5,5,0,0,446,500,0,500,0
123,500,5,5,0,0.2,466,500,0,500,0
133,500,5,5,1,0,508,500,0,500,0
144,500,5,5,2,0,459,500,0,500,0
145,500,5,5,2,0.2,451,500,0,500,0
155,500,5,5,3,0,470,500,0,500,0
156,500,5,5,3,0.2,516,500,0,500,0
166,500,5,5,4,0,459,500,0,500,0
177,500,5,5,5,0,566,500,0,500,0
188,500,5,5,6,0,492,500,0,500,0
189,500,5,5,6,0.2,527,500,0,500,0
199,500,5,5,7,0,580,500,0,500,0
243,500,5,10,0,0,528,500,0,500,0
265,500,5,10,2,0,593,500,0,500,0
276,500,5,10,3,0,584,500,0,500,0
287,500,5,10,4,0,566,500,0,500,0
298,500,5,10,5,0,533,500,0,500,0
309,500,5,10,6,0,574,500,0,500,0
320,500,5,10,7,0,544,500,0,500,0
331,500,5,10,8,0,711,500,0,500,0
364,500,5,15,0,0,581,500,0,500,0
386,500,5,15,2,0,581,500,0,500,0
408,500,5,15,4,0,591,500,0,500,0
419,500,5,15,5,0,605,500,0,500,0
529,500,5,20,4,0,745,500,0,500,0
540,500,5,20,5,0,866,500,0,500,0
1,500,5,0,0,0,1000,500,1,499,0
2,500,5,0,0,0.2,1000,500,1,499,0
45,500,5,0,4,0,1000,500,1,499,0
56,500,5,0,5,0,1000,500,1,499,0
134,500,5,5,1,0.2,1000,500,1,499,0
254,500,5,10,1,0,1000,500,1,499,0
277,500,5,10,3,0.2,1000,500,1,499,0
299,500,5,10,5,0.2,1000,500,1,499,0
375,500,5,15,1,0,1000,500,1,499,0
397,500,5,15,3,0,1000,500,1,499,0
441,500,5,15,7,0,1000,500,1,499,0
452,500,5,15,8,0,1000,500,1,499,0
